"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 00:00","2012","07","01","00:00","16.0","","9.4","","65","","","","20","","13","","24.1","","88.63","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 01:00","2012","07","01","01:00","15.7","","9.2","","65","","","","24","","9","","24.1","","88.59","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 02:00","2012","07","01","02:00","15.7","","8.9","","64","","","","24","","11","","24.1","","88.55","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 03:00","2012","07","01","03:00","14.7","","9.1","","69","","","","14","","4","","24.1","","88.57","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 04:00","2012","07","01","04:00","14.6","","9.0","","69","","","","17","","6","","24.1","","88.55","","","","","","Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 05:00","2012","07","01","05:00","14.9","","8.5","","66","","","","25","","6","","48.3","","88.56","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 06:00","2012","07","01","06:00","14.6","","8.9","","69","","","","22","","4","","64.4","","88.58","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 07:00","2012","07","01","07:00","16.7","","9.8","","64","","","","28","","4","","64.4","","88.59","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 08:00","2012","07","01","08:00","19.4","","9.2","","52","","","","31","","22","","64.4","","88.62","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 09:00","2012","07","01","09:00","20.0","","8.7","","48","","","","2","","13","","64.4","","88.64","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 10:00","2012","07","01","10:00","20.1","","10.4","","54","","","","36","","17","","64.4","","88.65","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 11:00","2012","07","01","11:00","20.7","","10.9","","53","","","","","","0","","64.4","","88.66","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 12:00","2012","07","01","12:00","20.8","","10.4","","51","","","","9","","6","","64.4","","88.64","","","","","","Thunderstorms"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 13:00","2012","07","01","13:00","21.4","","11.4","","53","","","","11","","15","","64.4","","88.62","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 14:00","2012","07","01","14:00","22.2","","10.4","","47","","","","13","","17","","64.4","","88.62","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 15:00","2012","07","01","15:00","21.3","","10.6","","50","","","","17","","13","","64.4","","88.62","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 16:00","2012","07","01","16:00","22.2","","13.2","","57","","","","13","","22","","64.4","","88.61","","25","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 17:00","2012","07","01","17:00","21.9","","11.9","","53","","","","12","","17","","64.4","","88.61","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 18:00","2012","07","01","18:00","21.5","","12.0","","55","","","","16","","15","","64.4","","88.60","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 19:00","2012","07","01","19:00","20.6","","11.9","","57","","","","15","","13","","48.3","","88.59","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 20:00","2012","07","01","20:00","17.2","","11.8","","71","","","","3","","22","","32.2","","88.69","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 21:00","2012","07","01","21:00","14.5","","11.8","","84","","","","1","","30","","16.1","","88.82","","","","","","Thunderstorms,Moderate Rain Showers"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 22:00","2012","07","01","22:00","12.5","","11.4","","93","","","","36","","13","","24.1","","88.84","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-01 23:00","2012","07","01","23:00","12.0","","10.7","","92","","","","31","","13","","24.1","","88.89","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 00:00","2012","07","02","00:00","11.9","","10.0","","88","","","","33","","6","","24.1","","88.91","","","","","","Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 01:00","2012","07","02","01:00","11.5","","10.3","","92","","","","4","","4","","24.1","","88.93","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 02:00","2012","07","02","02:00","10.3","","9.2","","93","","","","34","","7","","24.1","","88.95","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 03:00","2012","07","02","03:00","10.2","","9.4","","95","","","","33","","6","","24.1","","88.96","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 04:00","2012","07","02","04:00","8.9","","8.4","","97","","","","33","","6","","25.0","","88.99","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 05:00","2012","07","02","05:00","9.5","","8.9","","96","","","","24","","9","","64.4","","89.01","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 06:00","2012","07","02","06:00","11.3","","9.8","","90","","","","22","","6","","64.4","","89.03","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 07:00","2012","07","02","07:00","13.3","","10.8","","85","","","","20","","7","","64.4","","89.05","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 08:00","2012","07","02","08:00","15.2","","11.2","","77","","","","20","","11","","64.4","","89.04","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 09:00","2012","07","02","09:00","16.5","","11.3","","71","","","","17","","11","","64.4","","89.01","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 10:00","2012","07","02","10:00","17.6","","12.1","","70","","","","18","","11","","64.4","","88.99","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 11:00","2012","07","02","11:00","19.1","","10.2","","56","","","","18","","15","","64.4","","88.96","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 12:00","2012","07","02","12:00","20.5","","8.1","","45","","","","17","","22","","64.4","","88.90","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 13:00","2012","07","02","13:00","21.0","","7.6","","42","","","","18","","15","","64.4","","88.84","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 14:00","2012","07","02","14:00","22.0","","9.0","","43","","","","18","","22","","64.4","","88.80","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 15:00","2012","07","02","15:00","22.5","","7.5","","38","","","","17","","24","","64.4","","88.73","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 16:00","2012","07","02","16:00","22.7","","9.3","","42","","","","14","","26","","64.4","","88.67","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 17:00","2012","07","02","17:00","22.8","","10.8","","47","","","","15","","20","","64.4","","88.63","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 18:00","2012","07","02","18:00","22.6","","10.0","","45","","","","14","","26","","64.4","","88.55","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 19:00","2012","07","02","19:00","21.8","","11.0","","50","","","","14","","33","","48.3","","88.52","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 20:00","2012","07","02","20:00","20.9","","11.3","","54","","","","15","","26","","48.3","","88.49","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 21:00","2012","07","02","21:00","19.1","","10.0","","56","","","","17","","19","","48.3","","88.49","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 22:00","2012","07","02","22:00","16.6","","8.4","","58","","","","17","","11","","24.1","","88.49","","","","","","Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-02 23:00","2012","07","02","23:00","16.4","","7.1","","54","","","","20","","15","","24.1","","88.46","","","","","","Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 00:00","2012","07","03","00:00","16.6","","5.1","","47","","","","22","","13","","25.0","","88.43","","","","","","Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 01:00","2012","07","03","01:00","15.5","","5.0","","50","","","","4","","7","","24.1","","88.37","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 02:00","2012","07","03","02:00","15.5","","5.0","","50","","","","20","","15","","24.1","","88.33","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 03:00","2012","07","03","03:00","13.4","","7.9","","69","","","","27","","15","","24.1","","88.29","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 04:00","2012","07","03","04:00","13.5","","8.4","","71","","","","3","","4","","25.0","","88.20","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 05:00","2012","07","03","05:00","13.1","","6.4","","64","","","","17","","13","","48.3","","88.22","","","","","","Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-03 06:00","2012","07","03","06:00","13.4","","6.3","","62","","","","17","","9","","48.3","","88.15","","","","","","Cloudy"
